FID,Cell_id,Cell_lat,BIO1MEAN,BIO10MEAN,BIO11MEAN,BIO12MEAN,BIO13MEAN,BIO14MEAN,BIO15MEAN,BIO16MEAN,BIO17MEAN,BIO18MEAN,BIO19MEAN,BIO2MEAN,BIO3MEAN,BIO4MEAN,BIO5MEAN,BIO6MEAN,BIO7MEAN,BIO8MEAN,BIO9MEAN,ElevMean
11,Cell_00027,56.6805,9.2351799,7.6111102,26.3712997,793.7650146,25.7380009,-3.23704,28.9750004,16.7703991,1.25,19.3269005,-0.0481482,750.9949951,80.9953995,39.4351997,21.0167007,229.8630066,136.352005,224.9940033,159.0299988,105.8960037
12,Cell_00028,65.6804962,4.9314799,7.1638899,21.8778,903.5479736,23.0203991,-9.7361097,32.7565002,17.7509003,-2.7120399,16.8574009,-5.3481498,649.617981,75.336998,31.6389008,25.0426006,207.279007,107.8539963,206.6000061,136.1670074,113.3539963
13,Cell_00030,52.1805,10.3684998,8.65833,29.0519009,812.7479858,27.0268993,-2.85741,29.8843002,19.9064999,0.376852,20.4027996,0.681481,604.3930054,83.1278,31.7213001,31.6296005,222.1909943,103.2060013,214.9320068,111.8639984,135.048996
14,Cell_00032,36.5719986,20.4333,5.9000001,27.4666996,593.53302,32.2667007,10.7333002,21.5333004,13.1000004,28.6333008,27.9333,13.7666998,571.3670044,120.2669983,1,92.5333023,329.5,7,7,288.4330139,100.0999985
15,Cell_00034,38.6805,18.5564995,13.1536999,42.862999,637.5310059,36.3582993,5.6536999,30.7045994,11.3500004,27.4556007,26.7397995,11.2406998,530.4710083,84.0582962,5.25,58.6166992,228.845993,30.9962997,33.860199,221.7559967,271.9379883
16,Cell_00035,48.1805,10.9295998,9.4481497,33.8268013,707.7550049,27.0093002,-0.961111,27.9703999,18.8157005,2.1611099,19.8111,2.5416701,812.8510132,108.0690002,41.9602013,32.3880005,295.1210022,138.4199982,289.0270081,138.473999,508.3540039
17,Cell_00038,79.1042023,-1.29412,3.6196101,20.8922005,485.9370117,6.6823502,-10.4510002,17.1333008,-5.5745101,0.711765,4.7705898,-6.9411802,365.3269958,44.6725006,14.2451,33.9273987,129.102005,48.8960991,84.2294006,109.3690033,302.4169922
18,Cell_00040,54.6801987,9.6231499,6.8463001,36.1417007,454.6130066,20.6184998,1.64074,18.9778004,4.5749998,12.1083002,15.4796,4.5555601,1393.060059,170.3699951,73.3619995,29.7814999,484.0899963,229.1179962,254.7250061,453.6260071,250.3059998
19,Cell_00042,60.5625,8.7871799,7.61795,27.9025993,710.0620117,24.5307999,-2.8205099,27.3512993,18.6923008,2.5948701,18.1692009,0.841026,634.848999,72.2564011,35.4230995,22.6436005,203.5410004,117.8669968,194.8280029,140.5619965,21.2940998
20,Cell_00046,50.9673004,11.6889,6.46667,35.8111,425.0559998,22.0667,3.95556,18.1110992,7.8000002,15.1889,17.2556,7.0666699,1137.189941,146.5559998,56.2556,35.3889008,425.9890137,176.1560059,215.878006,371.243988,159.9170074
21,Cell_00048,60.2893982,9.0166702,5.7333298,21.9944,726.8779907,23.5499992,-2.57778,26.1278,9.5111103,8.1666698,18.5888996,0.911111,690.8829956,79.8555984,36.3167,27.2110996,227.7169952,119.2779999,182.5890045,145.9779968,12.375
22,Cell_00049,43.1348991,14.8924999,8.2333298,43.263401,405.3089905,25.7000008,6.67204,19.0279999,10.2753,20.3677006,20.2472992,10.3892002,1370.5,216.8029938,29.4430008,52.9580994,587.6879883,120.4329987,142.6329956,564.8629761,269.9509888
23,Cell_00051,65.1804962,4.63796,7.0148101,21.5786991,904.4299927,22.8796005,-9.6296301,32.5093002,17.9008999,-2.6916699,16.5370007,-5.6407399,697.1040039,82.3536987,35.9777985,27.2824001,233.1719971,112.6230011,232.9830017,134.1049957,236.5420074
24,Cell_00052,78.7216034,-1.12361,3.3069401,19.7068996,477.5289917,6.5263901,-9.9694405,16.4958,-5.3180599,0.836111,4.77917,-6.74722,385.2279968,46.5792007,15.9541998,32.3361015,134.3320007,53.9375,89.7611008,114.3099976,346.8590088
25,Cell_00053,51.6805,10.1491003,8.5018501,26.7036991,900.0560303,27.9843006,-3.90833,31.8925991,21.7518997,-0.77037,21.2481003,-0.563889,628.5380249,80.0656967,36.8592987,26.3610992,215.7539978,120.9059982,215.598999,134.9889984,127.1880035
26,Cell_00054,69.6804962,1.79167,7.5379601,22.3593006,909.4219971,20.3342991,-13.3806,33.7148018,15.6370001,-5.4787002,13.8324003,-8.4018497,480.9320068,72.3778,22.9454002,41.049099,191.0700073,72.8184967,190.9309998,79.9231033,367.2990112
27,Cell_00055,62.6805,5.59167,8.1694403,27.3971996,775.5479736,22.2388992,-7.60185,29.8407001,16.7943993,-3.5250001,15.5369997,-3.4027801,634.6719971,86.8342972,28.9685001,32.959301,228.9210052,98.5999985,228.7480011,109.5230026,382.7569885
28,Cell_00057,53.1805,9.5787001,7.9574099,27.0028,818.0900269,26.0480995,-3.53426,29.5823994,19.2175999,-0.622222,19.6805992,-0.149074,618.5800171,78.8778,36.198101,26.5083008,217.3309937,114.6419983,212.298996,120.6539993,179.4859924
29,Cell_00060,63.1805,6.5796299,7.0055599,22.1389008,856.2219849,24.1184998,-7.5166702,31.6352005,19.1564999,-1.44537,17.7602005,-3.26667,647.3959961,84.6824036,30.8880005,31.5555992,230.9259949,104.1490021,230.7599945,116.6699982,140.3329926
30,Cell_00061,37.6805,16.8008995,14.1388998,40.1805992,765.1799927,37.2888985,2.1092601,35.1795998,9.5907402,28.0130005,26.7259007,8.1861095,396.8250122,52.8434982,5.1314802,48.1647987,146.5740051,29.4241009,32.0713005,139.5039978,906.6530151
31,Cell_00069,66.0969009,3.7181799,3.78636,25.8061008,388.2420044,12.5318003,-2.24242,14.7742004,3.14697,3.77121,9.1015196,-0.0484848,1029.150024,116.211998,55.4347992,21.0984993,318.355011,191.25,261.5549927,268.2229919,384.1400146
32,Cell_00071,64.1804962,6.1722202,7.59167,24.0249996,834.7719727,23.8241005,-7.8018498,31.6259003,17.0139008,-1.06019,17.125,-3.3222201,556.0549927,73.1407013,26.5944004,33.3157005,200.5209961,83.6906967,198.1950073,100.9599991,66.8542023
33,Cell_00072,79.7319031,-1.94815,3.31111,19.1536999,501.3479919,6.1055598,-11.0018997,17.1074009,-6.4203701,-0.355556,4.3944402,-7.7222199,363.1809998,42.4704018,15.2389002,30.2019005,122.8809967,52.2056007,88.7981033,105.9499969,333.5379944
34,Cell_00073,55.6803017,10.1843004,6.8578401,29.2126999,625.6970215,23.9382,0.418627,23.5195999,6.9401999,8.3647099,18.2313995,3.1401999,738.3519897,80.7921982,44.7038994,19.8470993,231.6580048,144.8070068,171.9609985,195.9839935,89.1110992
35,Cell_00074,48.1805,13.2444,9.7629604,33.0139008,760.8569946,30.7157001,1.0953701,29.6203995,21.6156998,4.8592601,22.8323994,4.2648101,617.2620239,72.1824036,34.9916992,24.2092991,204.4519958,109.8560028,199.2910004,121.1439972,146.1459961
36,Cell_00075,65.1804962,2.3398099,6.6722202,24.5583,715.492981,17.6028004,-9.6120396,27.2147999,2.73611,-0.389815,11.7147999,-5.7213001,932.7810059,103.9779968,41.5954018,25.2528,279.3340149,147.5950012,255.5110016,251.6999969,833.742981
37,Cell_00077,63.2312012,7.8000002,4.53333,18.0333004,736.7329712,21.8666992,-3.23333,25.1000004,10.1000004,0.933333,17.5,-0.3,528.7329712,62.5999985,28,27.5333004,176.8999939,87.3332977,146.8670044,108.5999985,3.4000001
38,Cell_00079,48.1805,13.2258997,10.4685001,33.8712997,787.367981,31.4815006,0.519444,30.9619999,21.0806007,4.67593,23.1518002,3.8731501,584.1890259,66.5361023,33.8564987,22.6082993,186.6560059,106.1589966,173.6940002,120.9150009,196.298996
39,Cell_00081,53.6805,10.2721996,7.8203702,28.7444,735.6400146,25.8083,-1.49722,27.3055992,19.9880009,1.51574,19.3519001,1.48519,664.9299927,85.1906967,30.9407005,29.2656994,231.1970062,110.3830032,231.2489929,123.2900009,142.0970001
40,Cell_00085,48.6805,12.3259001,8.6083298,32.8675995,651.8150024,28.0545998,1.84907,26.2056007,12.9406996,13.0417004,20.6667004,4.9009299,704.0460205,72.2602005,44.7897987,15.3843002,198.7290039,151.4909973,183.3220062,190.6589966,316.1879883
41,Cell_00086,47.8785019,12.4231005,9.4064798,25.4508991,1047.420044,32.9110985,-4.0601902,36.9712982,20.9379997,19.7842999,25.3148003,-0.263889,556.0999756,62.5157013,27.4601994,23.0916996,173.0670013,104.2570038,151.4450073,142.0599976,105.9860001
42,Cell_00087,41.1805,17.0795994,13.6426001,40.7860985,723.5640259,36.3185005,2.88796,33.4305992,18.9361,13.2119999,26.3323994,8.86481,349.3800049,49.0732002,15.2037001,32.8250008,119.6940002,61.6758995,74.1110992,67.2926025,465.9309998
43,Cell_00088,49.6805,11.4703999,9.5175896,34.3740997,686.3049927,27.9463005,0.162963,27.7833004,17.4157009,9.87222,20.2528,3.5194399,740.9310303,81.4610977,46.4740982,16.7917004,222.9190063,156.2819977,202.5339966,175.7899933,333.6530151
44,Cell_00089,63.1805,6.7240701,6.3666701,20.1805992,888.9689941,24.1009007,-7.4499998,31.5508995,19.7509003,-0.614815,18.2583008,-3.56481,672.2150269,84.4213028,34.1767998,29.5981998,234.526001,108.0080032,234.621994,127.7919998,105.3820038
45,Cell_00090,37.1535988,18.1851997,9.1814804,34.8480988,637.3959961,32.7593002,6.4036999,26.3556004,11.9518995,26.7999992,26.2259007,10.9814997,722.4559937,135.7590027,5.3074098,78.3740997,367.730011,22.0851994,25.0258999,339.7330017,216.6499939
46,Cell_00092,59.1805,9.3898201,8.0500002,29.5102005,706.901001,25.3619995,-1.98519,27.3472004,19.3323994,2.1935201,18.6777992,1.43981,597.6989746,70.586998,30.4601994,25.4342995,195.3059998,103.7939987,192.6690063,123.3610001,52.2778015
47,Cell_00094,54.1805,10.8056002,7.4175901,36.7888985,472.9779968,22.7231007,2.51389,20.2092991,5.8509302,12.8611002,16.9480991,5.5851898,736.3909912,80.7082977,47.979599,16.9703999,228.1399994,154.1230011,163.2969971,213.4989929,99.1389008
48,Cell_00095,44.1805,11.7398005,10.0056,34.081501,731.7509766,28.6397991,-0.744445,29.3843002,16.4713001,9.5963001,20.9528008,2.96574,970.4420166,107.6060028,58.4342995,18.3222008,296.6369934,193.3150024,254.3159943,211.1040039,756.4099731
49,Cell_00096,51.1772995,12.7398005,7.8018498,33.4768982,571.3670044,26.4064999,3.02037,23.3861008,8.0018501,13.3397999,19.9185009,6.1444402,774.4229736,80.2815018,50.9093018,14.2222004,227.4640045,167.371994,179.5839996,201.2149963,11.6478996
50,Cell_00102,40.6805,15.8268995,13.1315002,38.2851982,766.9190063,35.9869995,1.7203701,34.2667007,10.3028002,27.0991001,25.8435001,7.2712998,388.8469849,50.1870003,10.3120003,38.7953987,139.7689972,46.7176018,47.5694008,118.8219986,785.9719849
51,Cell_00104,78.1365967,0.135556,4.1566701,21.5422001,524.6959839,9.8422203,-9.4311104,19.2733002,-0.291111,-1.24333,6.6500001,-5.9166698,461.3540039,48.8755989,20.7189007,21.4167004,138.8329926,78.9132996,120.3929977,108.5110016,350.9419861
52,Cell_00107,39.1805,14.2138996,10.5925999,34.9953995,731.8800049,31.4972,1.2407399,30.2565002,7.8231502,24.3519001,23.4722004,5.7824101,795.1400146,114.927002,24.6389008,47.956501,309.3089905,79.9425964,79.9369965,288.7990112,887.867981
53,Cell_00108,66.1804962,2.8185201,7.9546299,23.6184998,921.4320068,20.9666996,-12.7166996,33.6833,16.0056,-4.4398198,14.7018995,-7.93889,651.2479858,101.6569977,30.8055992,37.8712997,248.6499939,98.1343002,248.5690002,121.8539963,485.5690002
54,Cell_00109,54.8367996,10.1833,6.9233298,37.3732986,435.4630127,20.6266994,2.0633299,18.5632992,5.98667,14.2600002,15.71,5.20333,1166.199951,138.9570007,59.6166992,30.8232994,402.3370056,188.3200073,219.2100067,355.3670044,65.9250031
55,Cell_00111,78.6158981,0.0844445,2.34444,14.9421997,442.5639954,7.0799999,-7.6999998,14.7799997,-2.1466701,-0.197778,5.5844402,-5.18222,491.0509949,58.3244019,21.9333,30.0266991,163.5359955,73.2022018,122.5039978,118.7580032,210.5070038
56,Cell_00113,50.6805,10.7082996,8.7407398,27.5592995,871.8439941,28.0342999,-3.7120399,31.7462997,20.3610992,0.226852,21.4286995,0.175926,622.5889893,81.6036987,34.4389,28.9787006,220.2570038,115.5540009,213.0879974,129.9320068,151.4790039
57,Cell_00115,52.6805,9.96667,8.1787004,26.3906994,875.0469971,27.0620003,-3.9722199,31.0342999,21.5333004,-0.886111,20.75,-0.518518,620.9899902,83.2064972,32.7851982,29.1889,219.9369965,107.9240036,220.0079956,120.5859985,134.3059998
58,Cell_00117,50.6805,10.8472004,8.4953699,31.9482002,675.7800293,26.7101994,-0.0064815,26.7166996,18.8176003,3.7750001,19.375,2.98333,705.8889771,80.6999969,40.8527985,21.6156998,226.4759979,137.2230072,222.4920044,141.3269958,399.9240112
59,Cell_00120,59.6805,8.1611099,8.5351896,29.1222,757.2269897,24.5093002,-4.81111,29.3204002,11.5166998,0.869444,17.8241005,-0.752778,735.6380005,79.5194016,38.6008987,21.5333004,222.4400024,133.651001,213.4889984,153.9299927,133.4100037
60,Cell_00121,42.6805,12.7102003,8.4009304,30.4619999,695.6209717,28.2740993,0.862963,27.4111004,13.8639002,5.3157401,21.5953999,4.9120402,801.302002,91.6500015,45.0425987,20.5074005,250.7810059,155.6230011,194.0359955,160.6199951,994.3189697
61,Cell_00122,62.1805,2.8666699,9.7148104,29.4925995,823.117981,20.5286999,-12.4250002,32.953701,14.5361004,-5.0703702,13.3463001,-6.7842598,729.427002,92.9139023,34.2897987,31.7971992,259.6480103,116.2480011,259.4989929,131.3220062,758.9240112
62,Cell_00124,46.6805,8.2277803,9.9296303,32.4435005,780.1539917,25.3537006,-5.25278,30.6065006,16.3647995,-0.494444,18.0741005,-1.07963,581.5089722,95.895401,22.5499992,52.0250015,256.3559875,75.4758987,238.9490051,78.9204025,1021.080017
63,Cell_00126,45.6805,14.3870001,10.8648005,34.267601,809.473999,32.6463013,0.905556,31.7406998,20.8703995,5.4453702,24.5435009,4.6592598,550.9050293,72.4397964,30.9389,26.125,185.25,101.6839981,171.4720001,112.6750031,81.2707977
64,Cell_00129,64.1688995,5.0388899,7.4509301,22.0592995,922.3660278,23.6980991,-10.1204004,33.8185005,15.7472,-2.3120401,17.0167007,-5.62222,660.5939941,81.3110962,32.7574005,30.7425995,232.5449982,101.8809967,227.5679932,121.4400024,196.5070038
65,Cell_00130,78.6901016,-1.20988,3.42222,20.1741009,474.7900085,6.54074,-10.1210003,16.6616993,-5.2580299,0.804938,4.6802502,-6.7851901,389.5509949,48.0974998,15.5925999,34.0159988,138.4830017,52.9864006,88.5630035,114.7699966,385.348999
66,Cell_00132,48.1805,10.4906998,9.8157396,31.6296005,799.5720215,27.4176006,-3.66204,31.0795994,18.6019001,0.681482,20.2758999,0.755555,684.1040039,108.1399994,28.7693996,49.9267998,299.9880066,94.2369995,273.7690125,95.9582977,490.1740112
67,Cell_00133,65.7668991,3.77037,8.0009298,22.9897995,942.8649902,22.9953995,-11.8129997,34.8083,17.8638992,-3.8555601,16.0009003,-7.125,609.7160034,80.0667038,29.0778008,34.2388992,223.6569977,91.764801,223.6360016,102.8809967,257.8120117
68,Cell_00134,79.6843033,-1.56173,4.00741,20.7852001,541.6810303,7.57161,-11.4321003,19.0037003,-3.38395,-2.1827199,5.08148,-7.8987699,405.697998,41.8235016,17.5678997,22.7320995,121.7310028,65.469101,106.2190018,103.2139969,334.6319885
69,Cell_00135,58.0788002,9.0309496,4.5380902,33.0904999,351.3980103,16.6261997,2.8285699,13.7975998,6.8190498,10.2785997,13.5832996,5.1428599,1546.48999,191.9400024,71.9119034,33.0070992,538.7979736,236.1100006,338.7019958,457.1900024,146.227005
70,Cell_00137,53.6805,10.9379997,7.1907401,39.4305992,417.4509888,21.3630009,3.0731499,18.2898006,7.2314801,14.6787004,16.3101997,6.2944398,1286.449951,152.2799988,67.2518997,28.4417,434.3320007,215.0679932,249.4320068,386.4089966,81.0417023
71,Cell_00138,59.1715012,9.5362701,7.3343101,27.9538994,699.0380249,24.7411995,-1.56961,26.3108006,19.5088005,2.8529401,18.7136993,1.66667,587.3880005,68.5215988,29.5667,24.8029003,186.4989929,101.7389984,183.9440002,125.802002,45.75
72,Cell_00140,39.6805,17.3444004,11.9574003,37.5601997,717.5770264,35.7980995,3.97685,31.8213005,8.87222,27.6343002,26.6842995,9.28333,477.4339905,67.8212967,6.05093,51.2639008,193.0780029,34.6119995,36.3889008,189.2100067,542.25
73,Cell_00142,70.873703,1.35,3.71667,25.4333,362.5329895,9.5500002,-5.1833301,14.7333002,1.5666699,0.85,6.3666701,-2.3833301,925.4169922,102.2669983,49.4166985,21.3167,282.1499939,170.1829987,233.5,231.5169983,224.3000031
74,Cell_00143,47.1805,10.5796003,8.3231497,32.3647995,643.1500244,25.9230995,0.20463,25.7185001,10.4046001,15.2147999,18.7490997,3.1564801,1110.359985,112.1809998,74.5888977,13.4565001,313.3970032,234.279007,256.4259949,281.1940002,781.742981
75,Cell_00145,40.1805,11.6971998,9.9203701,33.6647987,715.9680176,28.4111004,-1.02407,29.4351997,6.7944398,21.6037006,20.7943993,3.57407,826.0640259,108.1259995,35.4286995,34.6315002,292.6740112,113.5550003,113.5660019,239.0709991,1286.26001
76,Cell_00146,47.1805,14.1073999,9.4462996,31.4176006,794.8839722,31.6184998,1.48981,30.1287003,21.7129993,5.4435201,24.0417004,4.66852,522.8120117,61.209301,29.6833,22.9027996,164.7409973,92.913002,150.0679932,107.4219971,110.6320038
77,Cell_00151,63.2260017,6.6884599,7.5192299,25.8910007,776.9359741,23.3449001,-5.6961498,29.0410004,10.5705004,4.7974401,16.9909992,-1.95897,716.6539917,86.0718002,38.1744003,26.6448994,230.6959991,124.3679962,205.0590057,159.9420013,107.6869965
78,Cell_00153,49.6805,10.6546001,9.5777798,27.1490993,987.7940063,30.3064995,-5.0148101,35.3213005,21.5324001,15.8435001,22.7656994,-1.38704,552.6380005,62.3861008,34.0046005,19.0324001,172.3659973,113.026001,159.2819977,138.9080048,143.9440002
79,Cell_00156,52.1805,11.1480999,8.6888905,31.0981998,739.723999,27.2999992,-0.731481,28.0314999,19.6527996,2.5213001,20.4083004,2.4037001,524.0460205,70.8351974,24.2315006,35.6231003,199.7769928,79.8258972,195.8899994,87.4120026,102.8610001
80,Cell_00157,52.1805,12.0138998,8.5129604,31.6944008,694.6450195,27.7861004,0.837037,26.9491005,19.2833004,8.0555601,20.8269005,3.95648,554.5009766,61.6444016,33.7685013,19.5046005,173.2510071,114.7559967,166.5330048,126.4029999,55.0555992
81,Cell_00158,44.1805,10.0258999,10.5888996,35.1082993,726.742981,27.5778008,-2.58796,30.1657009,5.6213002,14.8453999,19.1019001,1.2898099,1050.420044,129.0399933,59.7277985,22.7092991,340.5859985,204.0440063,211.1580048,259.7690125,1068.069946
82,Cell_00159,39.1805992,18.5860996,10.4454002,44.0397987,493.7319946,31.8971996,8.1536999,23.7434998,12.6268997,25.0869999,24.8148003,12.7462997,677.0289917,112.0680008,5.4036999,65.2963028,312.026001,30.3073997,36.9426003,303.868988,73.118103
83,Cell_00162,57.1805,8.0972204,7.2916698,37.1435013,458.7290039,19.4769001,-0.206481,19.6833,3.6407399,11.8184996,14.0749998,3.0555601,1001.469971,119.8089981,59.139801,24.2073994,321.9869995,186.6820068,195.8860016,295.1809998,430.6390076
84,Cell_00164,77.2617035,2.1370399,3.60741,24.7185001,375.3439941,8.6999998,-5.5999999,14.3000002,-0.340741,3.8963001,6.5777798,-2.46296,369.4670105,47.637001,12.4370003,35.9888992,133.5670013,47.2406998,82.3074036,108.2850037,175.7590027
85,Cell_00165,48.6805,12.0537004,8.8203697,25.9880009,977.8460083,31.0454006,-2.925,33.9704018,22.5601997,13.9861002,24.1453991,0.362037,520.1599731,59.5852013,33.0037003,18.5305996,162.0160065,108.4629974,149.5050049,127.2600021,89.1042023
86,Cell_00167,47.1805,12.4406996,9.7749996,27.8815002,957.940979,32.1805992,-2.8907399,35.0713005,22.6648006,19.0074005,24.3962994,0.935185,445.4790039,50.581501,22.9157009,21.7870007,140.3500061,82.6917038,123.4150009,116.3450012,74.368103
87,Cell_00169,64.9413986,8.3999996,3.9333301,21.6667004,531.2670288,18.7000008,0.366667,18.3332996,10.4333,11.4666996,15.3000002,2.5999999,1695.630005,212.3670044,90.7667007,27.7999992,565.1669922,299.5,361.2999878,439.6669922,124.5999985
88,Cell_00170,43.6980019,17.2374001,10.1232004,34.9051018,700.6459961,33.523201,4.5424199,28.9808006,16.0515003,27.2959995,26.2616005,9.1686897,685.8889771,111.4680023,21.3313007,38.8091011,240.8639984,94.7746964,94.6192017,183.9160004,80.4197998
89,Cell_00173,47.6805,9.9537001,8.4435196,32.6917,661.9910278,24.7324009,-1.12963,25.8619995,17.7397995,2.1203699,18.1611004,2.09444,1301.060059,165.5240021,73.5268021,28.6102009,459.9880066,242.3849945,457.5100098,244.0319977,940.4580078
90,Cell_00179,62.6805,6.8305502,6.4953699,20.7852001,870.7249756,24.1713009,-7.1268501,31.2980995,19.2980995,-0.290741,18.1518993,-3.22963,649.2890015,82.5832977,32.5379982,30.4417,228.4279938,104.4810028,228.1340027,121.8889999,111.8259964
91,Cell_00180,79.6804962,-2.8213,1.57222,9.3787003,498.7879944,4.6620402,-10.6564999,15.3184996,-0.0268517,-2.3963001,3.4518499,-8.6851902,721.2630005,96.9406967,31.5944004,38.0074005,256.1140137,102.6549988,192.9170074,152.0420074,556.7290039
92,Cell_00181,54.0483017,11.6426001,7.0796299,27.5074005,712.2459717,26.1110992,0.325926,25.7852001,21.2147999,3.3166699,20.3889008,3.0296299,708.0059814,79.2556,40.6222,20.2222004,224.897995,137.7649994,219.1329956,151.5670013,25.7777996
93,Cell_00185,58.7482986,9.75455,5.7393899,30.2394009,494.4819946,20.2241993,1.16364,19.0606003,9.7939396,11.9757996,15.8606005,4.09091,1332.890015,174.4329987,61.9303017,35.7696991,485.07901,194.7640076,270.5119934,352.7510071,26.0526009
94,Cell_00186,60.2461014,8.5959997,6.3346701,22.8507004,767.0570068,24.2213001,-3.5239999,27.7453003,10.3093004,5.3053298,18.6627007,0.0106666,683.598999,80.8227005,35.776001,26.8080006,222.3999939,117.6330032,196.7810059,148.4960022,52.846199
95,Cell_00187,50.1805,10.9036999,8.6416702,26.2565002,937.1040039,29.1814995,-3.7898099,32.9712982,21.7472,6.3407402,22.3360996,-0.415741,585.3549805,71.3935013,35.0074005,22.3416996,190.4929962,119.6819992,187.6730042,136.427002,129.3190002
96,Cell_00190,46.1805,13.2518997,10.5693998,38.2342987,636.1699829,29.9074001,2.26667,27.6406994,15.5314999,10.8148003,21.4426003,6.10741,710.348999,83.6722031,44.7481003,19.0823994,210.8829956,147.6759949,188.0899963,154.6080017,356.3190002
97,Cell_00191,49.1805,11.8601999,8.9370403,33.5093002,667.9660034,27.8213005,1.06019,26.7611008,12.9814997,18.5750008,20.4111004,4.1259298,904.3499756,94.3037033,54.7630005,16.2045994,260.493988,185.628006,217.4219971,230.6529999,327.0830078
98,Cell_00192,50.6805,10.9379997,8.6111097,33.3008995,645.117981,26.2462997,0.284259,25.9619999,4.0935202,19.7898006,19.2222004,3.52315,938.2520142,106.2809982,57.7167015,17.3815002,288.0190125,195.1710052,200.8659973,269.1440125,370.0069885
99,Cell_00193,52.1805,11.6240997,8.2953701,32.5397987,635.757019,26.8129997,1.2,25.6130009,16.6972008,9.2694397,19.7203999,4.33148,657.2139893,69.3694,41.7277985,13.6926003,186.7619934,144.4250031,180.5090027,156.201004,116.1600037
100,Cell_00194,64.1804962,3.19259,4.8120399,26.8917007,473.6570129,14.0843,-3.8361101,17.9204006,6.3657398,4.0657401,9.7342596,-1.49815,1290.48999,143.3789978,76.5241013,18.2656994,388.04599,250.5410004,304.1419983,337.2520142,604.4030151
101,Cell_00195,53.6805,10.7147999,8.0046301,29.5277996,717.742981,26.3407001,-0.873148,27.2138996,20.3416996,2.1574099,19.6175995,2.1777799,618.3200073,79.9167023,29.2684994,31.5823994,221.0749969,98.6444016,221.1629944,111.9649963,62.2916985
102,Cell_00199,53.1805,9.65833,8.2805595,27.5443993,832.0029907,26.5009003,-3.6268499,30.1278,19.5342999,-0.671296,19.9472008,-0.247222,623.2930298,79.8806,35.8278008,27.0230999,219.8630066,114.1439972,215.7339935,121,167.8609924
